Year,Month_[1-12],Day_[1-31],Julian_Day_[1-366],Hour_[1-24],Sensible_Heat_Flux_[Watt/meter^2],Surface_Friction_Velocity_[meters/second],Convective_Velocity_Scale_[meters/second],Vertical_Potential_Temperature_Gradient_above_PBL_[kelvin/meter],Convective_Mixing_Height_[meters],Mechanical_Mixing_Height_[meters],Monin-Obukhov_Length_[meters],Surface_Roughness_Length_[meters],Bowen_Ratio,Albedo,Wind_Speed_[meters/second],Wind_Direction_[degrees],Height_of_Anemometer_[meters],Temperature_[kelvin],Height_at_which_Temperature_was_Measured_[meters],Precipitation_Type_Code,Precipitation_Amount_[millmeters/hour],Relative_Humidity_[%],Surface_Pressure_[millibar],Cloud_Cover_[tenths],Data_Flag,
23,1,1,1,18,48.3,0.51,-9,-9,-999,1003,-247.8,0.4728,0.44,0.23,4.1,37,14,302.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,19,4.6,0.671,-9,-9,-999,1317,-5915,0.6636,0.44,0.41,5.1,74,14,302.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,20,-64,0.716,-9,-9,-999,1451,516.4,0.6636,0.44,1,5.7,77,14,300.1,2,0,0,79,1010,3,NAD-SFC,NoSubs
23,1,1,1,21,-56.4,0.557,-9,-9,-999,1027,276.4,0.6636,0.44,1,4.6,70,14,300.1,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,1,1,22,-49.2,0.484,-9,-9,-999,817,208.2,0.6636,0.44,1,4.1,62,14,299.1,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,1,1,23,-18.6,0.213,-9,-9,-999,325,47,0.4728,0.44,1,2.6,10,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,1,1,24,-26.1,0.299,-9,-9,-999,393,92.5,0.4728,0.44,1,3.1,30,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,1,-26.1,0.299,-9,-9,-999,393,92.5,0.4728,0.44,1,3.1,16,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,2,-38.2,0.438,-9,-9,-999,697,198.6,0.4728,0.44,1,4.1,22,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,3,-38.2,0.438,-9,-9,-999,697,198.6,0.4728,0.44,1,4.1,2,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,2,2,4,-38.8,0.445,-9,-9,-999,713,204.9,0.3161,0.44,1,4.6,360,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,5,-49.4,0.567,-9,-9,-999,1023,332,0.4728,0.44,1,5.1,6,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,2,2,6,-38.4,0.446,-9,-9,-999,728,207.5,0.3161,0.44,0.7,4.6,357,14,298.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,2,2,7,18,0.53,0.507,0.005,261,926,-746.1,0.2793,0.44,0.32,5.1,249,14,298.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,2,2,8,57.4,0.415,0.922,0.005,493,653,-112.3,0.3161,0.44,0.2,3.6,326,14,298.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,2,2,9,103.2,0.526,1.288,0.005,746,915,-127.2,0.3161,0.44,0.17,4.6,330,14,298.1,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,2,2,10,136.8,0.632,1.559,0.005,1000,1203,-165.9,0.4358,0.44,0.16,5.1,311,14,298.1,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,2,2,11,161.5,0.695,1.771,0.011,1240,1387,-187,0.3161,0.44,0.16,6.2,345,14,300.1,2,0,0,79,1010,1,NAD-SFC,NoSubs
23,1,2,2,12,176.6,0.746,1.924,0.013,1456,1544,-212.1,0.3161,0.44,0.16,6.7,351,14,300.1,2,0,0,79,1010,3,NAD-SFC,NoSubs
23,1,2,2,13,179.7,0.747,2.001,0.012,1609,1549,-208.8,0.3161,0.44,0.16,6.7,349,14,301.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,2,2,14,173.1,0.746,2.024,0.012,1728,1546,-215.8,0.3161,0.44,0.16,6.7,357,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,15,155.3,0.743,1.973,0.012,1785,1537,-237.6,0.3161,0.44,0.16,6.7,360,14,303.1,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,2,2,16,126.6,0.989,1.845,0.005,1791,2352,-687.7,0.4728,0.44,0.16,8.2,14,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,17,89.4,0.983,1.645,0.005,1795,2341,-957.7,0.4728,0.44,0.18,8.2,8,14,301.1,2,0,0,74,1010,1,NAD-SFC,NoSubs
23,1,2,2,18,46.3,0.976,1.322,0.005,1798,2317,-1809.5,0.4728,0.44,0.23,8.2,21,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,19,2.1,0.909,0.468,0.005,1798,2096,-8888,0.4728,0.44,0.41,7.7,2,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,20,-64,0.891,-9,-9,-999,2021,993.8,0.4728,0.44,1,7.7,25,14,301.1,2,0,0,74,1010,1,NAD-SFC,NoSubs
23,1,2,2,21,-64,0.829,-9,-9,-999,1821,800.7,0.4728,0.44,1,7.2,14,14,301.1,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,2,2,22,-43.6,0.43,-9,-9,-999,886,164,0.4728,0.44,1,4.1,15,14,299.1,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,2,2,23,-64,0.678,-9,-9,-999,1339,439.5,0.3161,0.44,1,6.7,357,14,299.1,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,2,2,24,-64,0.735,-9,-9,-999,1510,559.9,0.3161,0.44,1,7.2,358,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,3,3,1,-59.3,0.681,-9,-9,-999,1354,478.9,0.3161,0.44,1,6.7,360,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,2,-54.5,0.626,-9,-9,-999,1194,404.5,0.3161,0.44,1,6.2,356,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,3,-49.7,0.57,-9,-9,-999,1038,335.9,0.3161,0.44,1,5.7,354,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,4,-49.7,0.57,-9,-9,-999,1033,335.9,0.3161,0.44,1,5.7,340,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,5,-49.7,0.57,-9,-9,-999,1033,335.9,0.3161,0.44,1,5.7,337,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,6,-44.2,0.438,-9,-9,-999,712,171.7,0.3161,0.44,0.71,4.6,339,14,299.1,2,0,0,89,1010,3,NAD-SFC,NoSubs
23,1,3,3,7,14.8,0.443,0.618,0.007,575,708,-531.2,0.3161,0.44,0.32,4.1,336,14,299.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,8,60.2,0.465,1.032,0.007,658,760,-150.3,0.3161,0.44,0.2,4.1,319,14,299.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,9,101.8,0.383,1.293,0.007,766,573,-49.6,0.3161,0.44,0.17,3.1,318,14,299.1,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,3,3,10,135.9,0.484,1.482,0.008,863,809,-75.4,0.4728,0.44,0.16,3.6,4,14,299.1,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,3,3,11,161.3,0.259,1.629,0.01,967,366,-9.7,0.4358,0.44,0.16,1.5,302,14,300.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,12,175.9,0.281,1.733,0.01,1068,358,-11.4,0.5791,0.44,0.16,1.5,198,14,300.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,13,180.1,0.846,1.798,0.005,1166,1868,-303.1,0.8204,0.44,0.16,5.7,151,14,302.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,3,3,14,173.4,1.18,1.817,0.005,1249,3063,-852.9,0.8204,0.44,0.16,8.2,142,14,301.1,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,3,3,15,154.6,0.993,1.78,0.005,1316,2441,-570.2,0.5791,0.44,0.16,7.7,187,14,299.1,2,0,0,79,1010,3,NAD-SFC,NoSubs
23,1,3,3,16,113.8,0.663,1.618,0.005,1343,1459,-231,0.73,0.44,0.16,4.6,110,14,298.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,17,82.3,1.03,1.458,0.005,1359,2503,-1196.9,0.8204,0.44,0.18,7.2,139,14,299.1,2,0,0,70,1010,6,NAD-SFC,NoSubs
23,1,3,3,18,47.5,1.163,1.217,0.005,1368,2993,-2984.5,0.8204,0.44,0.23,8.2,151,14,299.1,2,0,0,54,1010,3,NAD-SFC,NoSubs
23,1,3,3,19,5.6,1.087,0.599,0.005,1368,2739,-8888,0.8204,0.44,0.4,7.7,137,14,298.1,2,0,0,65,1010,6,NAD-SFC,NoSubs
23,1,3,3,20,-64,1.07,-9,-9,-999,2662,1725.5,0.8204,0.44,1,7.7,148,14,298.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,3,3,21,-53.4,0.609,-9,-9,-999,1434,380.8,0.8204,0.44,1,4.6,157,14,297.1,2,0,0,74,1010,6,NAD-SFC,NoSubs
23,1,3,3,22,-53.6,0.609,-9,-9,-999,1154,379.4,0.8204,0.44,1,4.6,149,14,296.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,3,3,23,-47.3,0.538,-9,-9,-999,954,295.8,0.5791,0.44,1,4.6,181,14,296.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,24,-47,0.533,-9,-9,-999,933,289.2,0.8204,0.44,1,4.1,177,14,295.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,4,4,1,-47.5,0.538,-9,-9,-999,946,294.6,0.5791,0.44,1,4.6,186,14,295.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,4,4,2,-60.3,0.684,-9,-9,-999,1357,479.2,0.5791,0.44,1,5.7,186,14,296.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,4,4,3,-46.9,0.533,-9,-9,-999,958,290.4,0.8204,0.44,1,4.1,178,14,296.1,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,4,-41.3,0.469,-9,-9,-999,777,225.1,0.5791,0.44,1,4.1,189,14,296.1,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,5,-47.3,0.538,-9,-9,-999,945,295.8,0.5791,0.44,1,4.6,191,14,296.1,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,6,-41.2,0.469,-9,-9,-999,776,225.6,0.5791,0.44,0.72,4.1,202,14,295.1,2,0,0,78,1010,6,NAD-SFC,NoSubs
23,1,4,4,7,15.5,0.525,0.448,0.009,208,911,-840.8,0.5791,0.44,0.32,4.1,206,14,295.1,2,0,0,78,1010,3,NAD-SFC,NoSubs
23,1,4,4,8,60.6,0.477,0.925,0.008,470,792,-160.7,0.8204,0.44,0.21,3.1,158,14,296.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,4,4,9,101.8,0.415,1.267,0.007,720,646,-63.4,0.73,0.44,0.17,2.6,126,14,296.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,4,4,10,135.2,0.343,1.494,0.009,889,486,-26.9,0.5791,0.44,0.16,2.1,197,14,295.1,2,0,0,73,1010,2,NAD-SFC,Sub_CC
23,1,4,4,11,159.3,0.386,1.666,0.011,1046,574,-32.4,0.2793,0.44,0.16,3.1,227,14,295.1,2,0,0,78,1010,1,NAD-SFC,NoSubs
23,1,4,4,12,156,0.572,1.687,0.011,1110,1039,-108.3,0.5791,0.44,0.16,4.1,193,14,295.1,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,13,158.9,0.688,1.72,0.007,1155,1366,-184.3,0.5791,0.44,0.16,5.1,205,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,14,153.1,0.814,1.719,0.005,1196,1758,-317.7,0.5791,0.44,0.16,6.2,212,14,295.1,2,0,0,73,1010,6,NAD-SFC,NoSubs
23,1,4,4,15,102.6,0.502,1.515,0.009,1223,969,-110.8,0.5791,0.44,0.16,3.6,201,14,294.1,2,0,0,83,1010,8,NAD-SFC,NoSubs
23,1,4,4,16,113.3,0.393,1.579,0.009,1254,611,-48.1,0.5791,0.44,0.16,2.6,180,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,17,61.2,0.413,1.291,0.009,1270,637,-103.9,0.8204,0.44,0.18,2.6,173,14,296.1,2,0,0,73,1010,8,NAD-SFC,NoSubs
23,1,4,4,18,43.6,0.342,1.157,0.008,1281,482,-82.3,0.8204,0.44,0.23,2.1,169,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,19,5.1,0.089,0.565,0.008,1282,174,-12.7,0.5371,0.44,0.4,0.5,999,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,20,-3.9,0.077,-9,-9,-999,56,10.4,0.2793,0.44,1,1.5,229,14,296.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,4,4,21,-0.5,0.031,-9,-9,-999,14,5,0.5371,0.44,1,0.5,999,14,296.1,2,0,0,73,1010,8,NAD-SFC,NoSubs
23,1,4,4,22,-5.3,0.094,-9,-9,-999,69,14.1,0.5791,0.44,1,1.5,199,14,295.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,4,4,23,-5.8,0.094,-9,-9,-999,69,13.1,0.5791,0.44,1,1.5,222,14,295.1,2,0,0,83,1010,3,NAD-SFC,NoSubs
23,1,4,4,24,-5.8,0.094,-9,-9,-999,69,13.1,0.5791,0.44,1,1.5,218,14,295.1,2,0,0,83,1010,3,NAD-SFC,NoSubs
23,1,5,5,1,-35.1,0.398,-9,-9,-999,602,161.4,0.5791,0.44,1,3.6,205,14,295.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,5,5,2,-39.8,0.387,-9,-9,-999,579,131.3,0.5791,0.44,1,3.6,204,14,295.1,2,0,0,88,1010,3,NAD-SFC,NoSubs
23,1,5,5,3,-49.2,0.457,-9,-9,-999,742,175.3,0.5791,0.44,1,4.1,197,14,294.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,5,5,4,-32.5,0.303,-9,-9,-999,418,76.6,0.5791,0.44,1,3.1,220,14,294.1,2,0,0,88,1010,1,NAD-SFC,NoSubs
23,1,5,5,5,-32.5,0.303,-9,-9,-999,399,76.6,0.5791,0.44,1,3.1,212,14,294.1,2,0,0,88,1010,1,NAD-SFC,NoSubs
23,1,5,5,6,-999,-9,-9,-9,-999,-999,-99999,0.5791,0.44,0.73,3.6,215,14,294.1,2,0,0,88,1010,99,NAD-SFC,NoSubs
23,1,5,5,7,-999,-9,-9,-9,-999,-999,-99999,0.5791,0.44,0.33,2.6,222,14,293.1,2,0,0,88,1010,99,NAD-SFC,NoSubs
23,1,5,5,8,-999,-9,-9,-9,-999,-999,-99999,0.2793,0.44,0.21,1.5,255,14,292.1,2,0,0,94,1010,99,NAD-SFC,NoSubs
23,1,5,5,9,-999,-9,-9,-9,-999,-999,-99999,0.2793,0.44,0.17,3.1,259,14,292.1,2,0,0,94,1010,99,NAD-SFC,NoSubs
23,1,5,5,10,-999,-9,-9,-9,-999,-999,-99999,0.2793,0.44,0.16,2.1,268,14,294.1,2,0,0,83,1010,99,NAD-SFC,NoSubs
23,1,5,5,11,-999,-9,-9,-9,-999,-999,-99999,0.2793,0.44,0.16,3.1,238,14,296.1,2,0,0,73,1010,99,NAD-SFC,NoSubs
23,1,5,5,12,-999,-9,-9,-9,-999,-999,-99999,0.2793,0.44,0.16,3.6,249,14,297.1,2,0,0,74,1010,99,NAD-SFC,NoSubs
23,1,5,5,13,178.4,0.617,-9,-9,-999,1163,-118.5,0.73,0.44,0.16,4.1,128,14,298.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,5,5,14,172.1,0.638,-9,-9,-999,1221,-135.8,0.8204,0.44,0.16,4.1,140,14,299.1,2,0,0,65,1010,1,NAD-SFC,NoSubs
23,1,5,5,15,154.4,0.698,-9,-9,-999,1397,-198.6,0.8204,0.44,0.16,4.6,135,14,300.1,2,0,0,58,1010,1,NAD-SFC,NoSubs
23,1,5,5,16,126.3,0.805,-9,-9,-999,1728,-371.8,0.73,0.44,0.16,5.7,118,14,300.1,2,0,0,54,1010,1,NAD-SFC,NoSubs
23,1,5,5,17,89.2,0.926,-9,-9,-999,2131,-802.5,0.73,0.44,0.18,6.7,119,14,299.1,2,0,0,58,1010,1,NAD-SFC,NoSubs
23,1,5,5,18,46.1,0.984,-9,-9,-999,2336,-1862.8,0.73,0.44,0.23,7.2,116,14,300.1,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,5,5,19,1.3,0.975,-9,-9,-999,2313,-8888,0.73,0.44,0.4,7.2,117,14,299.1,2,0,0,65,1010,1,NAD-SFC,NoSubs
23,1,5,5,20,-64,0.886,-9,-9,-999,2021,978.2,0.73,0.44,1,6.7,127,14,298.1,2,0,0,69,1010,1,NAD-SFC,NoSubs
23,1,5,5,21,-64,0.814,-9,-9,-999,1777,759.5,0.73,0.44,1,6.2,122,14,298.1,2,0,0,65,1010,1,NAD-SFC,NoSubs
23,1,5,5,22,-53.1,0.499,-9,-9,-999,970,210.7,0.73,0.44,1,4.1,130,14,297.1,2,0,0,69,1010,1,NAD-SFC,NoSubs
23,1,5,5,23,-37.9,0.355,-9,-9,-999,540,106,0.8204,0.44,1,3.1,148,14,296.1,2,0,0,78,1010,1,NAD-SFC,NoSubs
23,1,5,5,24,-26.6,0.249,-9,-9,-999,307,52.3,0.8204,0.44,1,2.6,162,14,296.1,2,0,0,73,1010,1,NAD-SFC,NoSubs
23,1,6,6,1,-11.3,0.132,-9,-9,-999,124,18.3,0.5791,0.44,1,2.1,186,14,294.1,2,0,0,88,1010,3,NAD-SFC,NoSubs
23,1,6,6,2,-19.7,0.183,-9,-9,-999,189,28.2,0.5791,0.44,1,2.6,213,14,294.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,6,6,3,-5.9,0.094,-9,-9,-999,73,12.8,0.5791,0.44,1,1.5,205,14,294.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,6,6,4,-10.2,0.121,-9,-9,-999,101,15.7,0.4358,0.44,1,2.1,283,14,293.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,6,6,5,-999,-9,-9,-9,-999,-999,-99999,0.4358,0.44,1,2.1,272,14,293.1,2,0,0,88,1010,99,NAD-SFC,NoSubs
23,1,6,6,6,-999,-9,-9,-9,-999,-999,-99999,0.2793,0.44,0.74,2.1,266,14,293.1,2,0,0,94,1010,99,NAD-SFC,NoSubs
23,1,6,6,7,-999,-9,-9,-9,-999,-999,-99999,0.2793,0.44,0.33,1.5,248,14,292.1,2,0,0,100,1010,99,NAD-SFC,NoSubs
23,1,6,6,8,-999,-9,-9,-9,-999,-999,-99999,0.2793,0.44,0.21,2.6,262,14,292.1,2,0,0,100,1010,99,NAD-SFC,NoSubs
23,1,6,6,9,-999,-9,-9,-9,-999,-999,-99999,0.2793,0.44,0.17,1.5,268,14,292.1,2,0,0,100,1010,99,NAD-SFC,NoSubs
23,1,6,6,10,133.3,0.287,-9,-9,-999,369,-15.9,0.2793,0.44,0.16,2.1,268,14,294.1,2,0,0,83,1010,1,NAD-SFC,NoSubs
23,1,6,6,11,159.7,0.292,-9,-9,-999,379,-14.1,0.2793,0.44,0.16,2.1,265,14,295.1,2,0,0,83,1010,3,NAD-SFC,NoSubs
23,1,6,6,12,175.4,0.633,-9,-9,-999,1210,-130.5,0.5791,0.44,0.16,4.6,186,14,298.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,13,159.5,0.975,-9,-9,-999,2307,-523.2,0.8204,0.44,0.16,6.7,141,14,298.1,2,0,0,69,1010,6,NAD-SFC,NoSubs
23,1,6,6,14,154.6,0.974,-9,-9,-999,2308,-538.6,0.8204,0.44,0.16,6.7,135,14,299.1,2,0,0,70,1010,6,NAD-SFC,NoSubs
23,1,6,6,15,154.9,1.002,-9,-9,-999,2404,-585.3,0.73,0.44,0.16,7.2,132,14,299.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,16,127.2,1.063,-9,-9,-999,2622,-851.1,0.73,0.44,0.16,7.7,132,14,299.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,6,6,17,91,1.058,-9,-9,-999,2612,-1172,0.73,0.44,0.18,7.7,132,14,299.1,2,0,0,58,1010,3,NAD-SFC,NoSubs
23,1,6,6,18,48.4,0.886,-9,-9,-999,2055,-1294.4,0.8204,0.44,0.23,6.2,145,14,300.1,2,0,0,58,1010,3,NAD-SFC,NoSubs
23,1,6,6,19,3.7,1.111,-9,-9,-999,2795,-8888,0.73,0.44,0.4,8.2,128,14,298.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,20,-64,1.07,-9,-9,-999,2666,1725.5,0.8204,0.44,1,7.7,141,14,299.1,2,0,0,58,1010,3,NAD-SFC,NoSubs
23,1,6,6,21,-64,1.027,-9,-9,-999,2508,1523.2,0.73,0.44,1,7.7,132,14,298.1,2,0,0,61,1010,3,NAD-SFC,NoSubs
23,1,6,6,22,-64,0.85,-9,-9,-999,1935,863.8,0.8204,0.44,1,6.2,136,14,297.1,2,0,0,65,1010,3,NAD-SFC,NoSubs
23,1,6,6,23,-55.8,0.522,-9,-9,-999,1053,229.7,0.8204,0.44,1,4.1,142,14,296.1,2,0,0,69,1010,1,NAD-SFC,NoSubs
23,1,6,6,24,-26.4,0.257,-9,-9,-999,441,58.2,0.8204,0.44,1,2.6,136,14,296.1,2,0,0,69,1010,3,NAD-SFC,NoSubs
23,1,7,7,1,-59.2,0.576,-9,-9,-999,1049,290.4,0.73,0.44,1,4.6,128,14,295.1,2,0,0,78,1010,3,NAD-SFC,NoSubs
23,1,7,7,2,-55,0.523,-9,-9,-999,912,234.1,0.8204,0.44,1,4.1,143,14,296.1,2,0,0,73,1010,2,NAD-SFC,Sub_CC
23,1,7,7,3,-26.6,0.252,-9,-9,-999,386,54,0.8204,0.44,1,2.6,140,14,295.1,2,0,0,78,1010,2,NAD-SFC,Sub_CC
23,1,7,7,4,-38,0.354,-9,-9,-999,506,105.4,0.8204,0.44,1,3.1,165,14,295.1,2,0,0,73,1010,1,NAD-SFC,NoSubs
23,1,7,7,5,-13.7,0.148,-9,-9,-999,182,21.3,0.8204,0.44,1,2.1,143,14,295.1,2,0,0,73,1010,1,NAD-SFC,NoSubs
23,1,7,7,6,-2.6,0.063,-9,-9,-999,50,8.5,0.5791,0.44,0.74,1,216,14,292.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,7,7,7,10.6,0.282,0.33,0.005,122,360,-191.9,0.5791,0.44,0.33,2.1,209,14,292.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,7,7,8,58.1,0.249,1.114,0.005,858,298,-23.9,0.5791,0.44,0.21,1.5,214,14,292.1,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,7,7,9,98.2,0.332,1.404,0.005,1016,459,-33.6,0.5791,0.44,0.17,2.1,220,14,293.1,2,0,0,88,1010,1,NAD-SFC,NoSubs
23,1,7,7,10,120.4,0.395,1.58,0.005,1182,595,-46,0.5791,0.44,0.16,2.6,184,14,294.1,2,0,0,94,1010,6,NAD-SFC,NoSubs
23,1,7,7,11,106.4,0.621,1.569,0.005,1310,1175,-203.2,0.8204,0.44,0.16,4.1,143,14,293.1,2,0,0,100,1010,8,NAD-SFC,NoSubs
